word: የሚቆመው	stem: ሚቆመው
word: ከመጠፋፋት	stem: መጠፋፋት
word: ይከናወን	citation: ተከናወነ
word: ለመጠለል	stem: ተጠለለ
word: ሰዱቃውያንን	stem: ሰዱቃውያን
word: ግብፅን	stem: ግብጽ
word: አትግደል	citation: ገደለ
word: ስለደከማቸው	stem: ደከማቸ
word: ያብቃህ	stem: አብቃ
word: ቢያብቡ	stem: ቢያብብ
word: የሁላችሁም	stem: የሁላችሁ
word: ያርኩህ	stem: አርኩ
word: አይማርም	stem: አይማር
word: ከዚያን	stem: ዚያን
word: እንዲድን	stem: ንዲድን
word: ለውሸታሞችና	stem: ውሸታማ
word: ለእሷ	stem: እስዋ
word: መዘዙን	stem: መዘዝ
word: ያደርቀዋልም	stem: ያደርቀዋል
word: ያልሰበክሁበት	citation: ሰበከ
word: ለችግረኛ	stem: ችግረኛ
word: እንዳረከሱ	stem: እንዳረከስ
word: አታከማቹ	stem: አታከማች
word: ከጳዳንአራም	stem: ጳዳንአራም
word: እስከሚያቃጥላቸው	stem: ስከሚያቃጥላቸ
word: አላችሁ	stem: አል
word: ከብረት	stem: ብረት
word: ፀጉራቸውንም	stem: ጸጉራቸ
word: ቢቆሙ	stem: ቢቆም
word: አካዝን	stem: አካዝ
word: ያጣል	stem: አጣል
word: እንዲጠይቁኝ	stem: ንዲጠይቁኝ
word: የሚከናወንላቸው	citation: ተከናወነ
word: ሞልተኸኛልና	stem: ሞልተኸኛል
word: ላለማሰናከል	stem: አሰናከለ
word: በጦር	stem: ጦር
word: መልሱልኝ	citation: መለሰ
word: ከወለወልኩ	stem: ወለወልክ
word: ከሚኖሩበት	stem: ሚኖሩበት
word: የተመካ	stem: ተመካ
word: ያልሸጡትም	stem: አልሸጡትም
word: ንብረታችንን	stem: ንብረት
word: ቦታዎችም	stem: ቦታ
word: ማስተማራቸውንና	stem: ማስተማራቸው
word: ያቆጠቁጣል	citation: አቆጠቆጠ
word: ልታጠፏቸው	stem: ልታጠፍው
word: ቢፈጠር	citation: ተፈጠረ
word: ክንዳቸውን	stem: ክንድ
word: አስባለሁ	stem: አስባለህ
word: እንዳይሞክሩና	stem: አይሞክር
word: ይዳርጋቸዋል	citation: ዳረገ
word: ዓመትም	stem: አመት
word: ካህኑም	stem: ካህን
word: ትጠልቃለች	citation: ጠለቀ
word: ከገደልክ	citation: ገደለ
word: ያዘዝካቸውን	stem: አዘዝካቸ
word: ዱካውን	stem: ዱካ
word: እንዳልበቀል	stem: አልበቀል
word: ያሏቸው	stem: አሏቸ
word: ስትናገር	citation: ተናገረ
word: መረቁን	citation: መረቀ
word: ለዘላለምም	stem: ዘላለም
word: ይጥፉ	stem: ይጥፍ
word: ላህሚን	stem: ላህሚ
word: የዕለት	stem: እለት
word: ለሚያስተሰርየው	stem: ለሚያስተሰርየ
word: ተገኘች	citation: ተገኘተ
word: ይወቃል	citation: ወቀቀ
word: ለውሶ	stem: ውሶ
word: አነሳዋለሁ	stem: አነሳዋለህ
word: ሰነጣጥቆ	citation: ሰነጣጠቀ
word: የተመረጠችው	citation: ተመረጠ
word: ጥምጥማችሁ	stem: ጥምጥማችህ
word: ያስቀራል	stem: አስቀራል
word: የተለበጠ	stem: ተለበጠ
word: በመኖሪያቸው	stem: መኖሪያቸ
word: የሚጋት	stem: ሚጋት
word: የነፍስ	stem: ነፍስ
word: የማገለግል	stem: ማገለግል
word: ጊዜውም	stem: ጊዜ
word: አታልቅሺ	citation: አለቀሰ
word: ከፈትኩ	citation: ከፈተ
word: ዓመፃችን	stem: አመጽ
word: ለምታስቡት	stem: ምታስቡት
word: በሰውነቴ	stem: ሰውነቴ
word: በማደሪያህም	stem: በማደሪያህ
word: የነገረኝ	citation: ነገረ
word: ከደስታዋ	stem: ደስታ
word: ወደተሠዉት	stem: ተሰዉት
word: አካሄዳቸው	stem: አካሄድ
word: የልብ	stem: ልብ
word: አላደረባቸውም	stem: አላደረባቸ
word: ነጥቃችሁ	citation: ነጠቀ
word: የባዕድ	stem: ባእድ
word: ካገባትና	stem: አገባት
word: ሳይነጋም	stem: ሳይነጋ
word: አስቴርና	stem: አስቴር
word: ከገደላችሁኝ	citation: ገደለ
word: በአበባ	stem: አበባ
word: ነግሦአል	citation: ነገሰ
word: እንዲያጣራ	stem: ንዲያጣራ
word: ተቆልለው	citation: ተቆለለ
word: እስኪቆፈር	stem: ስኪቆፈር
word: ባለመጠበቅ	stem: ጠበቀ
word: ከአፍንጫውም	stem: አፍንጫ
word: ከመክፈት	stem: ከፈተ
word: ይቃወማቸው	stem: ይቃወም
word: ይተላለፋል	citation: ተተላለፈ
word: ሒሳቡን	stem: ሂሳብ
word: የተውጣጡ	stem: ተውጣጥ
word: አቃፊዎችንና	stem: አቃፊው
word: ያም	stem: አም
word: አትተልትሉ	stem: አትተልትል
word: ማዶና	stem: ማዶ
word: ገነቡ	stem: ገነብ
word: በለዓምንም	stem: በለአም
word: ሰየሟት	stem: ሰየምዋት
word: ባልክ	stem: አልክ
word: የመረጠን	citation: መረጠ
word: ያለቃል	stem: አለቃል
word: ያሳያቸውን	stem: አሳይ
word: ጋልበሃልና	stem: ጋልበሀል
word: ጭሱም	stem: ጭስ
word: ከድንጋዮችና	stem: ከድንጋይ
word: ብርም	stem: ብር
word: ቢሰረቅ	citation: ተሰረቀ
word: ቂጣዎችና	stem: ቂጣው
word: እንደሚወስደው	citation: ወሰደ
word: ፈርዖንም	stem: ፈርኦ
word: በበቂ	stem: በቂ
word: እንዲኖረኝ	stem: ንዲኖረኝ
word: የየዋሆችንም	stem: የየዋሀ
word: በቤታችሁም	stem: ቤት
word: አውርሷችኋል	citation: አወረሰ
word: ይጸድቁ	citation: ጸደቀ
word: ያረክሳሉ	citation: አረከሰ
word: ከቅድስቲቱ	stem: ከቅድስቲት
word: ሥርዓቶች	stem: ስርአታ
word: ጆሮም	stem: ጆሮ
